tblUploadID,tblSightingsID,SightingID,SurveyID,EffortID,DuplicateSightingStatus,DuplicateSightingNumber,PlatformInstance,Latitude,Longitude,AphiaID,IdentificationConfidence,Cue,SurveyTeam,MinGroupSize,BestGroupSize,MaxGroupSize,NumberOfCalves,SightingStatus,SightingDemographics,SightingDirection,SightingAngle,RadialDistance,PerpendicularDistance,Behaviour1,Behaviour2,Behaviour3,Comments
730,74763,71404193,SCANSIII Block 9 Double platform,9_728_1                                           ,N,,1,46.30376,-10.99772,137091,D,Bl,O2,1,1,1,,,,,19,1080,,119,124,124,
722,60115,1113,SCANSII Block N Aerial,C05/07_00305/512060                               ,N,,1,56.84199,-6.64023,137094,NR,BU,NR,2,2,2,,A,,S,82,,,119,124,124,Effort beginning.
722,60229,898,SCANSII Block R Aerial,C29/06_00284/434188                               ,N,,1,54.38632,-9.43076,137117,NR,BU,NR,1,1,1,,A,,S,54,,,119,124,124,Return to effort.
722,60259,1665,SCANSII Block O Aerial,C23/07_00362/561319                               ,N,,1,53.8671,-4.60618,137117,NR,BU,NR,1,1,1,,A,,S,68,,,119,124,124,Condictions change.
718,58837,L02/03/H04/07_00023/S104376,SCANSIII Block L Aerial,L02/03/H04/07_00023/104376                        ,N,,1,52.59834,3.41951,137117,NR,BP,O4,1,1,,0,A,,S,58,,114.35109 ,130,124,124,
724,61750,B02/19/K10/07_00039/S216433,SCANSIII Block B Aerial,B02/19/K10/07_00039/216433                        ,N,,1,45.52173,-2.25693,136980,NR,BU,NR,3,3,,0,A,,S,72,,59.4603   ,130,124,124,
718,58855,M01/05/C28/06_00013/S32264,SCANSIII Block M Aerial,M01/05/C28/06_00013/32264                         ,N,,1,55.38058,6.75338,137117,NR,BU,O2,2,2,,1,A,,S,80,,32.26784  ,130,124,124,
724,61594,B02/19/K10/07_00039/S216430,SCANSIII Block B Aerial,B02/19/K10/07_00039/216430                        ,N,,1,45.52625,-2.25339,137094,NR,BU,NR,3,3,,0,A,,S,54,,132.95728 ,130,124,124,
722,60312,1940,SCANSII Block B Aerial,B17/07_00385/490417                               ,N,,1,52.66744,2.91637,137117,NR,BU,NR,2,2,2,,A,,S,84,,,119,124,124,Condictions change.
722,59581,1813,SCANSII Block B Aerial,A01/08_00398/505634                               ,N,,1,49.29361,-4.92142,137117,NR,BU,NR,1,1,1,,A,,S,51,,,119,124,124,Condictions change.
718,58894,L02/05/H04/07_00027/S106457,SCANSIII Block L Aerial,L02/05/H04/07_00027/106457                        ,N,,1,52.06868,3.58258,137117,NR,NR,O4,1,1,,0,A,,P,32,,292.86122 ,127,124,124,
718,58926,L02/06/H06/07_00030/S108442,SCANSIII Block L Aerial,L02/06/H06/07_00030/108442                        ,N,,1,51.63697,2.7747,137117,NR,BU,O4,1,1,,0,A,,P,62,,97.30283  ,127,124,124,in in front wind park
721,59266,A01/39/M06/07_00011/S257312,SCANSIII Block A Aerial,A01/39/M06/07_00011/257312                        ,N,,1,36.00749,-6.19512,137097,NR,BU,NR,1,1,,0,A,,P,54,,132.95728 ,127,124,124,rejoin pressed ahead time
